,open,high,low,close,adjusted_close,volume,dividend
1999-12-31,102.56,122.12,102.25,107.87,53.9775,158626300.0,0.0
2000-01-31,112.44,124.75,109.62,112.25,56.1692,175259600.0,0.0
2000-02-29,112.37,119.75,100.94,102.75,51.4674,133524400.0,0.12
2000-03-31,102.0,128.25,99.5,118.37,59.2915,194329000.0,0.0
2000-04-28,120.0,128.0,101.25,111.5,55.8503,168464800.0,0.0
2000-05-31,112.5,113.62,102.0,107.31,53.8152,123803200.0,0.13
2000-06-30,107.56,122.31,105.5,109.56,54.9436,136216300.0,0.0
2000-07-31,108.75,117.81,100.0,112.25,56.2926,150130400.0,0.0
2000-08-31,112.0,134.25,110.25,132.02,66.2795,121998000.0,0.13
2000-09-29,133.06,134.94,110.25,112.62,56.5399,107468400.0,0.0
2000-10-31,112.62,119.62,86.94,98.5,49.4511,223510000.0,0.0
2000-11-30,98.44,104.37,91.62,93.5,47.0019,130411900.0,0.13
2000-12-29,94.44,104.75,80.06,85.0,42.729,167790700.0,0.0
2001-01-31,84.5,116.75,83.75,112.0,56.3017,198962600.0,0.0
2001-02-28,112.4,118.64,99.1,99.9,50.275,156438900.0,0.13
2001-03-30,99.3,108.4,87.65,96.18,48.4029,254550000.0,0.0
2001-04-30,97.45,118.05,90.05,115.14,57.9445,226210900.0,0.0
2001-05-31,115.85,119.9,110.96,111.8,56.3306,159356200.0,0.14
2001-06-29,112.5,119.0,111.1,113.5,57.1871,142929700.0,0.0
2001-07-31,113.5,115.4,101.56,105.21,53.0102,161016400.0,0.0
2001-08-31,105.35,110.09,98.86,99.95,50.4276,143401500.0,0.14
2001-09-28,100.15,103.13,87.49,91.72,46.2754,189312500.0,0.0
2001-10-31,91.72,112.1,91.34,108.07,54.5244,224351500.0,0.0
2001-11-30,107.25,117.0,106.9,115.59,58.3902,135136300.0,0.14
2001-12-31,114.8,124.7,113.21,120.96,61.1028,133393800.0,0.0
2002-01-31,120.6,126.39,101.0,107.89,54.5005,193562900.0,0.0
2002-02-28,107.64,109.3,95.76,98.12,49.6303,172321000.0,0.14
2002-03-28,98.6,108.85,98.5,104.0,52.6045,151268500.0,0.0
2002-04-30,104.0,104.0,83.34,83.76,42.3668,246503300.0,0.0
2002-05-31,83.85,86.49,75.92,80.45,40.7666,172738400.0,0.15
2002-06-28,80.75,80.95,66.1,72.0,36.4847,190980700.0,0.0
2002-07-31,72.01,74.2,65.7,70.4,35.674,246256900.0,0.0
2002-08-30,70.4,82.85,65.85,75.38,38.2803,166322300.0,0.15
2002-09-30,74.2,77.5,57.99,58.31,29.6116,185664400.0,0.0
2002-10-31,59.2,79.79,54.01,78.94,40.0882,285626300.0,0.0
2002-11-29,78.9,88.11,76.7,86.92,44.2219,184438100.0,0.15
2002-12-31,88.6,89.46,75.6,77.5,39.4293,151563500.0,0.0
2003-01-31,78.8,88.95,77.02,78.2,39.7855,193933500.0,0.0
2003-02-28,78.2,80.05,74.31,77.95,39.735,145672700.0,0.15
2003-03-31,78.9,84.9,73.17,78.43,39.9797,191937200.0,0.0
2003-04-30,78.5,86.49,78.12,84.9,43.2778,177874300.0,0.0
2003-05-30,85.3,90.4,84.45,88.04,44.9612,149548000.0,0.16
2003-06-30,89.0,89.08,79.81,82.5,42.132,184488300.0,0.0
2003-07-31,81.4,87.03,80.58,81.25,41.4936,153915600.0,0.0
2003-08-29,81.15,84.72,78.73,82.01,41.9658,113895200.0,0.16
2003-09-30,82.4,93.47,82.3,88.33,45.1998,171943100.0,0.0
2003-10-31,88.75,94.54,87.53,89.48,45.7883,156145400.0,0.0
2003-11-28,89.9,91.48,87.72,90.54,46.4137,97966100.0,0.16
2003-12-31,90.9,94.12,90.03,92.68,47.5107,116103600.0,0.0
2004-01-30,92.86,99.85,89.01,99.23,50.8685,139368500.0,0.0
2004-02-27,99.15,100.43,95.2,96.5,49.549,97741900.0,0.16
2004-03-31,96.5,97.6,90.28,91.84,47.1563,124483700.0,0.0
2004-04-30,91.67,94.55,88.01,88.17,45.2719,110632000.0,0.0
2004-05-28,88.13,89.75,85.12,88.59,45.5802,104707300.0,0.18
2004-06-30,88.09,91.21,87.3,88.15,45.3538,91968600.0,0.0
2004-07-30,88.28,88.44,83.42,87.07,44.7981,121001000.0,0.0
2004-08-31,86.87,87.39,81.9,84.69,43.6676,91169700.0,0.18
2004-09-30,84.05,87.28,83.24,85.74,44.2089,93906300.0,0.0
