,precio_usd
1999-12-31,35.8606
2000-01-31,30.0615
2000-02-29,27.4506
2000-03-31,32.6354
2000-04-28,21.4242
2000-05-31,19.2157
2000-06-30,24.5726
2000-07-31,21.4426
2000-08-31,21.4426
2000-09-29,18.5246
2000-10-31,21.1539
2000-11-30,17.6247
2000-12-29,13.3245
2001-01-31,18.755
2001-02-28,18.1223
2001-03-30,16.7984
2001-04-30,20.8099
2001-05-31,21.2491
2001-06-29,22.4225
2001-07-31,20.3307
2001-08-31,17.5233
2001-09-28,15.7172
2001-10-31,17.8612
2001-11-30,19.7226
2001-12-31,20.3492
2002-01-31,19.569
2002-02-28,17.9195
2002-03-28,18.5246
2002-04-30,16.052
2002-05-31,15.6374
2002-06-28,16.8015
2002-07-31,14.7374
2002-08-30,15.0753
2002-09-30,13.435
2002-10-31,16.4237
2002-11-29,17.7168
2002-12-31,15.88
2003-01-31,14.5777
2003-02-28,14.6067
2003-03-31,14.921
2003-04-30,15.7592
2003-05-30,15.1676
2003-06-30,15.8024
2003-07-31,16.2769
2003-08-29,16.3447
2003-09-30,17.1336
2003-10-31,16.1992
2003-11-28,15.9327
2003-12-31,16.9615
2004-01-30,17.135
2004-02-27,16.4409
2004-03-31,15.4494
2004-04-30,16.193
2004-05-28,16.255
2004-06-30,17.6989
2004-07-30,17.6555
2004-08-31,16.9678
2004-09-30,17.1853
2004-10-29,17.3842
2004-11-30,18.537
2004-12-31,18.4748
2005-01-31,18.1705
2005-02-28,17.4498
2005-03-31,16.7632
2005-04-29,17.5469
2005-05-31,17.9498
2005-06-30,17.2819
2005-07-29,17.8177
2005-08-31,19.1053
2005-09-30,17.9539
2005-10-31,17.933
2005-11-30,19.3708
2005-12-30,18.3001
2006-01-31,19.6997
2006-02-28,18.8669
2006-03-31,19.1056
2006-04-28,16.957
2006-05-31,15.9656
2006-06-30,16.4238
2006-07-31,16.9595
2006-08-31,18.1818
2006-09-29,19.3491
2006-10-31,20.3112
2006-11-30,20.8421
2006-12-29,21.1971
2007-01-31,21.907
2007-02-28,20.0663
2007-03-30,19.8526
2007-04-30,21.3271
2007-05-31,21.9322
2007-06-29,21.0603
2007-07-31,20.7173
2007-08-31,20.6041
2007-09-28,21.1276
2007-10-31,26.3987
2007-11-30,24.1736
2007-12-31,25.6125
2008-01-31,23.4541
2008-02-29,19.6454
2008-03-31,20.4978
2008-04-30,20.5989
2008-05-30,20.53
2008-06-30,19.9428
2008-07-31,18.6452
2008-08-29,19.863
2008-09-30,19.4263
2008-10-31,16.2528
2008-11-28,14.8146
2008-12-31,14.2431
2009-01-30,12.5287
2009-02-27,11.9177
2009-03-31,13.5559
2009-04-30,14.9506
2009-05-29,15.5141
2009-06-30,17.653
2009-07-31,17.4673
2009-08-31,18.4075
2009-09-30,19.2065
2009-10-30,20.7075
2009-11-30,22.0572
2009-12-31,22.8597
2010-01-29,21.1347
2010-02-26,21.6008
2010-03-31,22.066
2010-04-30,23.0059
2010-05-28,19.5268
2010-06-30,17.4152
2010-07-30,19.5344
2010-08-31,17.853
2010-09-30,18.6328
2010-10-29,20.2877
2010-11-30,19.3359
2010-12-31,21.3665
2011-01-31,21.2249
2011-02-28,20.4691
2011-03-31,19.5527
2011-04-29,19.9609
2011-05-31,19.3857
2011-06-30,20.1531
2011-07-29,21.2383
2011-08-31,20.7483
2011-09-30,19.4145
2011-10-31,20.7717
2011-11-30,20.1019
2011-12-30,20.4006
2012-01-31,23.206
2012-02-29,25.1077
2012-03-30,25.5151
2012-04-30,25.3252
2012-05-31,23.2434
2012-06-29,24.3582
2012-07-31,23.4663
2012-08-31,24.7042
2012-09-28,23.8546
2012-10-31,22.8767
2012-11-30,21.5148
2012-12-31,21.5913
2013-01-31,22.1898
2013-02-28,22.657
2013-03-28,23.3131
2013-04-30,26.9765
2013-05-31,28.6386
2013-06-28,28.3473
2013-07-31,26.1276
2013-08-30,27.6033
2013-09-30,27.5041
2013-10-31,29.2603
2013-11-29,31.7525
2013-12-31,31.153
2014-01-31,31.5111
2014-02-28,32.1412
2014-03-31,34.3896
2014-04-30,33.8946
2014-05-30,34.5856
2014-06-30,35.2276
2014-07-31,36.461
2014-08-29,38.6158
2014-09-30,39.4063
2014-10-31,39.9078
2014-11-28,40.8972
2014-12-31,39.7339
2015-01-30,34.5586
2015-02-27,37.7766
2015-03-31,35.0241
2015-04-30,41.9032
2015-05-29,40.6328
2015-06-30,38.2829
2015-07-31,40.494
2015-08-31,37.9841
2015-09-30,38.5776
2015-10-30,45.944
2015-11-30,47.7589
2015-12-31,48.7518
2016-01-29,48.4091
2016-02-29,45.0247
2016-03-31,48.8741
2016-04-29,44.131
2016-05-31,47.235
2016-06-30,45.6041
2016-07-29,50.5147
2016-08-31,51.5309
2016-09-30,51.6564
2016-10-31,53.737
2016-11-30,54.3999
2016-12-30,56.0971
2017-01-31,58.363
2017-02-28,58.107
2017-03-31,59.8145
