,precio_usd
1999-12-31,92.9767
2000-01-31,88.3476
2000-02-29,87.0024
2000-03-31,95.4325
2000-04-28,92.0809
2000-05-31,90.6332
2000-06-30,92.419
2000-07-31,90.9678
2000-08-31,96.9117
2000-09-29,91.6003
2000-10-31,91.1718
2000-11-30,84.3655
2000-12-29,83.9308
2001-01-31,87.6623
2001-02-28,79.3004
2001-03-30,74.8604
2001-04-30,81.2565
2001-05-31,80.801
2001-06-29,78.8755
2001-07-31,78.0713
2001-08-31,73.4391
2001-09-28,67.447
2001-10-31,68.3253
2001-11-30,73.6531
2001-12-31,74.0668
2002-01-31,73.341
2002-02-28,72.0255
2002-03-28,74.4199
2002-04-30,70.0919
2002-05-31,69.676
2002-06-28,64.5372
2002-07-31,59.4504
2002-08-30,59.8548
2002-09-30,53.5788
2002-10-31,57.9875
2002-11-29,61.5642
2002-12-31,58.0775
2003-01-31,56.6491
2003-02-28,55.8855
2003-03-31,56.0006
2003-04-30,60.7389
2003-05-30,64.0696
2003-06-30,64.7527
2003-07-31,65.92
2003-08-29,67.2797
2003-09-30,66.5473
2003-10-31,70.1093
2003-11-28,70.875
2003-12-31,74.4416
2004-01-30,75.9134
2004-02-27,76.9435
2004-03-31,75.9281
2004-04-30,74.4914
2004-05-28,75.767
2004-06-30,77.1681
2004-07-30,74.6818
2004-08-31,74.8637
2004-09-30,75.6137
2004-10-29,76.5879
2004-11-30,79.9969
2004-12-31,82.409
2005-01-31,80.5613
2005-02-28,82.2453
2005-03-31,80.7418
2005-04-29,79.2291
2005-05-31,81.7823
2005-06-30,81.9047
2005-07-29,85.0385
2005-08-31,84.2413
2005-09-30,84.9146
2005-10-31,82.9063
2005-11-30,86.5502
2005-12-30,86.3859
2006-01-31,88.4603
2006-02-28,88.9668
2006-03-31,90.4351
2006-04-28,91.5775
2006-05-31,88.8191
2006-06-30,89.054
2006-07-31,89.4528
2006-08-31,91.4049
2006-09-29,93.8722
2006-10-31,96.8308
2006-11-30,98.7563
2006-12-29,100.0765
2007-01-31,101.5817
2007-02-28,99.5889
2007-03-30,100.7443
2007-04-30,105.2069
2007-05-31,108.7755
2007-06-29,107.1822
2007-07-31,103.8263
2007-08-31,105.1587
2007-09-28,109.2283
2007-10-31,110.7101
2007-11-30,106.4221
2007-12-31,105.2161
2008-01-31,98.8546
