,precio_usd
1999-12-31,0.7725
2000-01-31,0.7795
2000-02-29,0.8612
2000-03-31,1.0204
2000-04-28,0.9321
2000-05-31,0.6311
2000-06-30,0.7871
2000-07-31,0.7635
2000-08-31,0.9157
2000-09-29,0.3869
2000-10-31,0.2939
2000-11-30,0.2479
2000-12-29,0.2236
2001-01-31,0.3249
2001-02-28,0.2742
2001-03-30,0.3316
2001-04-30,0.383
2001-05-31,0.2998
2001-06-29,0.3494
2001-07-31,0.2824
2001-08-31,0.2787
2001-09-28,0.2331
2001-10-31,0.2639
2001-11-30,0.3201
2001-12-31,0.3291
2002-01-31,0.3715
2002-02-28,0.3261
2002-03-28,0.3557
2002-04-30,0.3647
2002-05-31,0.3501
2002-06-28,0.2663
2002-07-31,0.2293
2002-08-30,0.2216
2002-09-30,0.2179
2002-10-31,0.2415
2002-11-29,0.2329
2002-12-31,0.2153
2003-01-31,0.2158
2003-02-28,0.2256
2003-03-31,0.2125
2003-04-30,0.2137
2003-05-30,0.2697
2003-06-30,0.2864
2003-07-31,0.3168
2003-08-29,0.3398
2003-09-30,0.3114
2003-10-31,0.344
2003-11-28,0.3142
2003-12-31,0.3211
2004-01-30,0.339
2004-02-27,0.3594
2004-03-31,0.4063
2004-04-30,0.3874
2004-05-28,0.4217
2004-06-30,0.489
2004-07-30,0.486
2004-08-31,0.5183
2004-09-30,0.5823
2004-10-29,0.7874
2004-11-30,1.0076
2004-12-31,0.9677
2005-01-31,1.1556
2005-02-28,1.3482
2005-03-31,1.2523
2005-04-29,1.0837
2005-05-31,1.1949
2005-06-30,1.1063
2005-07-29,1.2818
2005-08-31,1.4092
2005-09-30,1.6112
2005-10-31,1.7308
2005-11-30,2.0382
2005-12-30,2.1606
2006-01-31,2.2694
2006-02-28,2.0584
2006-03-31,1.885
2006-04-28,2.1155
2006-05-31,1.7963
2006-06-30,1.7212
2006-07-31,2.0425
2006-08-31,2.0391
2006-09-29,2.3135
2006-10-31,2.4368
2006-11-30,2.7547
2006-12-29,2.5498
2007-01-31,2.5765
2007-02-28,2.5428
2007-03-30,2.7923
2007-04-30,2.9994
2007-05-31,3.6422
2007-06-29,3.6678
2007-07-31,3.9599
2007-08-31,4.1618
2007-09-28,4.6124
2007-10-31,5.7087
2007-11-30,5.4764
2007-12-31,5.9531
2008-01-31,4.0681
2008-02-29,3.7573
2008-03-31,4.3127
2008-04-30,5.2279
2008-05-30,5.6726
2008-06-30,5.0322
2008-07-31,4.777
2008-08-29,5.095
2008-09-30,3.4159
2008-10-31,3.2335
2008-11-28,2.7851
2008-12-31,2.5651
2009-01-30,2.7087
2009-02-27,2.6841
2009-03-31,3.1593
2009-04-30,3.7817
2009-05-29,4.0816
2009-06-30,4.2806
2009-07-31,4.9105
2009-08-31,5.0553
2009-09-30,5.5705
2009-10-30,5.6651
2009-11-30,6.008
2009-12-31,6.3333
2010-01-29,5.7722
2010-02-26,6.1496
2010-03-31,7.0626
2010-04-30,7.8467
2010-05-28,7.7202
2010-06-30,7.5594
2010-07-30,7.7313
2010-08-31,7.3061
2010-09-30,8.5278
2010-10-29,9.0456
2010-11-30,9.3512
2010-12-31,9.6941
2011-01-31,10.1978
2011-02-28,10.6153
2011-03-31,10.474
2011-04-29,10.5227
2011-05-31,10.4536
2011-06-30,10.0881
2011-07-29,11.7354
2011-08-31,11.5656
2011-09-30,11.4601
2011-10-31,12.1652
2011-11-30,11.4866
2011-12-30,12.1718
2012-01-31,13.7189
2012-02-29,16.3024
2012-03-30,18.0187
2012-04-30,17.5508
2012-05-31,17.363
2012-06-29,17.5514
2012-07-31,18.3556
2012-08-31,20.0783
2012-09-28,20.1346
2012-10-31,17.968
2012-11-30,17.7489
2012-12-31,16.1384
2013-01-31,13.8129
2013-02-28,13.4614
2013-03-28,13.4998
2013-04-30,13.5035
2013-05-31,13.8072
2013-06-28,12.1737
2013-07-31,13.893
2013-08-30,15.0568
2013-09-30,14.7334
2013-10-31,16.1535
2013-11-29,17.2853
2013-12-31,17.4392
2014-01-31,15.561
2014-02-28,16.4554
2014-03-31,16.7837
2014-04-30,18.452
2014-05-30,19.9045
2014-06-30,20.4551
2014-07-31,21.0428
2014-08-29,22.6738
2014-09-30,22.2867
2014-10-31,23.8905
2014-11-28,26.422
2014-12-31,24.5225
2015-01-30,26.0288
2015-02-27,28.6511
2015-03-31,27.7523
2015-04-30,27.9128
2015-05-29,29.1776
2015-06-30,28.0903
2015-07-31,27.1665
2015-08-31,25.3679
2015-09-30,24.7357
2015-10-30,26.8842
2015-11-30,26.7287
2015-12-31,23.7824
2016-01-29,21.993
2016-02-29,21.9637
2016-03-31,24.7578
2016-04-29,21.2936
2016-05-31,22.8225
2016-06-30,21.8489
2016-07-29,23.8167
2016-08-31,24.3792
2016-09-30,25.9761
2016-10-31,26.0887
2016-11-30,25.5266
2016-12-30,26.7507
2017-01-31,28.028
2017-02-28,31.7765
2017-03-31,33.3237
2017-04-28,33.3214
2017-05-31,35.5795
2017-06-30,33.5439
2017-07-31,34.6409
2017-08-31,38.3524
2017-09-29,36.0419
2017-10-31,39.531
2017-11-30,40.3331
2017-12-29,39.7182
2018-01-31,39.2957
2018-02-28,41.9731
2018-03-29,39.5365
2018-04-30,38.9427
2018-05-31,44.2054
2018-06-29,43.7891
2018-07-31,45.0144
2018-08-31,54.0369
2018-09-28,53.5882
2018-10-31,51.955
2018-11-30,42.5414
2018-12-31,37.5769
2019-01-31,39.6494
2019-02-28,41.4245
2019-03-29,45.4438
2019-04-30,48.0084
2019-05-31,42.0474
2019-06-28,47.5354
2019-07-31,51.1669
2019-08-30,50.3262
2019-09-30,53.9981
2019-10-31,59.9748
2019-11-29,64.6239
2019-12-31,71.0077
2020-01-31,74.8428
2020-02-28,66.2604
2020-03-31,61.638
2020-04-30,71.2149
2020-05-29,77.27
2020-06-30,88.6586
2020-07-31,103.2989
2020-08-31,125.6756
2020-09-30,112.7905
2020-10-30,106.0217
2020-11-30,116.1463
2020-12-31,129.4536
2021-01-29,128.7414
2021-02-26,118.4797
2021-03-31,119.3493
2021-04-30,128.4459
2021-05-28,121.9586
2021-06-30,134.0459
2021-07-30,142.7565
2021-08-31,148.8232
2021-09-30,138.6977
2021-10-29,146.8334
2021-11-30,162.262
2021-12-31,174.3065
2022-01-31,171.5678
2022-02-28,162.2922
2022-03-31,171.6197
2022-04-29,154.9501
2022-05-31,146.5049
2022-06-30,134.5751
2022-07-29,159.9605
2022-08-31,154.9687
2022-09-30,136.2211
2022-10-31,151.1443
2022-11-30,146.1528
2022-12-30,128.2824
2023-01-31,142.4603
2023-02-28,145.7624
2023-03-31,163.0569
2023-04-28,167.7835
2023-05-31,175.5126
2023-06-30,192.0687
2023-07-31,194.5244
2023-08-31,186.2796
2023-09-29,169.7606
2023-10-31,169.3244
2023-11-30,188.5845
2023-12-29,191.146
2024-01-31,183.0744
2024-02-29,179.6787
2024-03-28,170.4636
2024-04-30,169.3205
2024-05-31,191.3715
2024-06-28,209.6576
2024-07-31,221.0652
2024-08-30,228.2156
2024-09-30,232.2019
2024-10-31,225.1362
2024-11-29,236.7776
2024-12-31,249.8371
2025-01-31,235.4507
2025-02-28,241.5421
2025-03-31,221.8564
2025-04-30,212.2382
2025-05-30,200.85
2025-06-30,205.17
2025-07-10,212.41
