,precio_usd
2004-09-30,3.2305
2004-10-29,4.7521
2004-11-30,4.5362
2004-12-31,4.8056
2005-01-31,4.8762
2005-02-28,4.686
2005-03-31,4.4995
2005-04-29,5.4839
2005-05-31,6.9115
2005-06-30,7.3322
2005-07-29,7.1729
2005-08-31,7.1291
2005-09-30,7.8883
2005-10-31,9.2763
2005-11-30,10.0932
2005-12-30,10.3411
2006-01-31,10.7848
2006-02-28,9.039
2006-03-31,9.7215
2006-04-28,10.4179
2006-05-31,9.2683
2006-06-30,10.4526
2006-07-31,9.6367
2006-08-31,9.4356
2006-09-29,10.0181
2006-10-31,11.8749
2006-11-30,12.0848
2006-12-29,11.4783
2007-01-31,12.5008
2007-02-28,11.2034
2007-03-30,11.4205
2007-04-30,11.75
2007-05-31,12.4113
2007-06-29,13.0293
2007-07-31,12.7127
2007-08-31,12.8435
2007-09-28,14.1402
2007-10-31,17.6233
2007-11-30,17.2743
2007-12-31,17.2364
2008-01-31,14.0662
2008-02-29,11.745
2008-03-31,10.9795
2008-04-30,14.3152
2008-05-30,14.6021
2008-06-30,13.122
2008-07-31,11.8091
2008-08-29,11.5484
2008-09-30,9.9837
2008-10-31,8.9577
2008-11-28,7.3026
2008-12-31,7.6687
2009-01-30,8.4385
2009-02-27,8.425
2009-03-31,8.676
2009-04-30,9.8703
2009-05-29,10.4002
2009-06-30,10.5089
2009-07-31,11.0438
2009-08-31,11.508
2009-09-30,12.36
2009-10-30,13.3638
2009-11-30,14.5323
2009-12-31,15.4541
2010-01-29,13.2098
2010-02-26,13.1315
2010-03-31,14.1365
2010-04-30,13.1039
2010-05-28,12.1052
2010-06-30,11.0912
2010-07-30,12.0858
2010-08-31,11.2176
2010-09-30,13.1063
2010-10-29,15.2976
2010-11-30,13.8521
2010-12-31,14.8058
2011-01-31,14.9651
2011-02-28,15.2901
2011-03-31,14.6261
2011-04-29,13.5627
2011-05-31,13.1868
2011-06-30,12.6224
2011-07-29,15.0481
2011-08-31,13.4844
2011-09-30,12.8383
2011-10-31,14.7726
2011-11-30,14.9409
2011-12-30,16.1002
2012-01-31,14.4603
2012-02-29,15.411
2012-03-30,15.9841
2012-04-30,15.077
2012-05-31,14.479
2012-06-29,14.4593
2012-07-31,15.7779
2012-08-31,17.0771
2012-09-28,18.8073
2012-10-31,16.9577
2012-11-30,17.4081
2012-12-31,17.6327
2013-01-31,18.837
2013-02-28,19.9714
2013-03-28,19.7966
2013-04-30,20.5539
2013-05-31,21.7167
2013-06-28,21.9448
2013-07-31,22.1288
2013-08-30,21.1105
2013-09-30,21.8337
2013-10-31,25.6891
2013-11-29,26.4122
2013-12-31,27.9357
2014-01-31,29.4378
2014-02-28,30.3023
2014-03-31,27.7812
2014-04-30,26.5834
2014-05-30,28.4109
2014-06-30,29.058
2014-07-31,28.8035
2014-08-29,28.9432
2014-09-30,29.2438
2014-10-31,28.223
2014-11-28,27.2891
2014-12-31,26.3737
2015-01-30,26.7161
2015-02-27,27.9626
2015-03-31,27.5685
2015-04-30,27.2737
2015-05-29,27.1023
2015-06-30,26.8399
2015-07-31,32.6776
2015-08-31,32.1965
2015-09-30,31.6687
2015-10-30,36.6481
2015-11-30,37.9135
2015-12-31,38.6669
2016-01-29,37.8389
2016-02-29,35.6457
2016-03-31,37.9159
2016-04-29,35.1815
2016-05-31,37.2177
2016-06-30,34.9653
2016-07-29,39.3294
2016-08-31,39.2554
2016-09-30,39.9616
2016-10-31,40.2518
2016-11-30,38.5611
2016-12-30,39.3846
2017-01-31,40.7632
2017-02-28,41.9928
2017-03-31,42.1355
2017-04-28,45.9484
2017-05-31,49.0581
2017-06-30,46.2049
2017-07-31,46.9911
2017-08-31,47.4752
2017-09-29,48.3937
2017-10-31,51.3418
2017-11-30,51.4974
2017-12-29,52.3537
2018-01-31,58.7561
2018-02-28,54.8646
2018-03-29,51.5456
2018-04-30,50.6232
2018-05-31,54.6697
2018-06-29,56.1205
2018-07-31,60.9925
2018-08-31,61.2202
2018-09-28,59.9916
2018-10-31,54.2016
2018-11-30,55.1493
2018-12-31,51.9343
2019-01-31,55.9565
2019-02-28,55.9893
2019-03-29,58.4912
2019-04-30,59.588
2019-05-31,54.9928
2019-06-28,53.8149
2019-07-31,60.5443
2019-08-30,59.1691
2019-09-30,60.6904
2019-10-31,62.5621
2019-11-29,64.813
2019-12-31,66.5674
2020-01-31,71.2088
2020-02-28,66.5604
2020-03-31,57.7486
2020-04-30,66.9307
2020-05-29,71.2456
2020-06-30,70.4767
2020-07-31,73.9508
2020-08-31,80.9873
2020-09-30,72.84
2020-10-30,80.3203
2020-11-30,87.1933
2020-12-31,87.1058
2021-01-29,90.8194
2021-02-26,100.4884
2021-03-31,102.5068
2021-04-30,116.9684
2021-05-28,117.1349
2021-06-30,121.3564
2021-07-30,133.9175
2021-08-31,143.8286
2021-09-30,132.8733
2021-10-29,147.157
2021-11-30,141.0454
2021-12-31,143.9822
2022-01-31,134.491
2022-02-28,134.246
2022-03-31,138.2324
2022-04-29,113.4243
2022-05-31,113.0789
2022-06-30,108.3087
2022-07-29,115.6215
2022-08-31,107.5702
2022-09-30,95.0756
2022-10-31,93.9425
2022-11-30,100.3836
2022-12-30,87.7002
2023-01-31,98.2465
2023-02-28,89.5192
2023-03-31,103.1071
2023-04-28,106.6955
2023-05-31,122.1322
2023-06-30,118.9812
2023-07-31,131.9231
2023-08-31,135.3523
2023-09-29,130.0742
2023-10-31,123.3349
2023-11-30,131.7342
2023-12-29,138.8512
2024-01-31,139.2587
2024-02-29,137.6286
2024-03-28,150.0237
2024-04-30,161.8026
2024-05-31,171.4642
2024-06-28,181.2631
2024-07-31,170.7048
2024-08-30,162.5845
2024-09-30,165.2645
2024-10-31,170.5059
2024-11-29,168.3535
2024-12-31,188.8468
2025-01-31,203.5316
2025-02-28,169.8723
2025-03-31,154.4558
2025-04-30,158.6108
2025-05-30,171.5354
2025-06-30,176.23
2025-07-03,179.53
