,precio_usd
1999-12-31,0.0897
2000-01-31,0.0708
2000-02-29,0.1223
2000-03-31,0.1614
2000-04-28,0.1703
2000-05-31,0.2155
2000-06-30,0.2429
2000-07-31,0.2293
2000-08-31,0.3033
2000-09-29,0.3129
2000-10-31,0.2374
2000-11-30,0.1548
2000-12-29,0.1252
2001-01-31,0.1973
2001-02-28,0.1708
2001-03-30,0.2481
2001-04-30,0.3183
2001-05-31,0.3271
2001-06-29,0.3544
2001-07-31,0.3091
2001-08-31,0.3237
2001-09-28,0.2099
2001-10-31,0.3275
2001-11-30,0.4176
2001-12-31,0.5113
2002-01-31,0.5024
2002-02-28,0.3898
2002-03-28,0.339
2002-04-30,0.266
2002-05-31,0.2557
2002-06-28,0.1313
2002-07-31,0.0846
2002-08-30,0.0773
2002-09-30,0.0654
2002-10-31,0.0909
2002-11-29,0.1309
2002-12-31,0.088
2003-01-31,0.0789
2003-02-28,0.0964
2003-03-31,0.0984
2003-04-30,0.1091
2003-05-30,0.2
2003-06-30,0.1751
2003-07-31,0.1459
2003-08-29,0.1389
2003-09-30,0.122
2003-10-31,0.1348
2003-11-28,0.1622
2003-12-31,0.1773
2004-01-30,0.17
2004-02-27,0.17
2004-03-31,0.2018
2004-04-30,0.1568
2004-05-28,0.1792
2004-06-30,0.1564
2004-07-30,0.1178
2004-08-31,0.0952
2004-09-30,0.111
2004-10-29,0.1106
2004-11-30,0.1462
2004-12-31,0.1801
2005-01-31,0.1752
2005-02-28,0.2215
2005-03-31,0.1816
2005-04-29,0.1676
2005-05-31,0.2071
2005-06-30,0.2042
2005-07-29,0.2068
2005-08-31,0.2345
2005-09-30,0.262
2005-10-31,0.2564
2005-11-30,0.2763
2005-12-30,0.2794
2006-01-31,0.3436
2006-02-28,0.3602
2006-03-31,0.4376
2006-04-28,0.4466
2006-05-31,0.3512
2006-06-30,0.3254
2006-07-31,0.3384
2006-08-31,0.4449
2006-09-29,0.4523
2006-10-31,0.533
2006-11-30,0.5654
2006-12-29,0.5657
2007-01-31,0.4685
2007-02-28,0.4738
2007-03-30,0.4399
2007-04-30,0.5027
2007-05-31,0.5294
2007-06-29,0.6314
2007-07-31,0.6994
2007-08-31,0.782
2007-09-28,0.8309
2007-10-31,0.8111
2007-11-30,0.7231
2007-12-31,0.78
2008-01-31,0.5638
2008-02-29,0.4904
2008-03-31,0.4537
2008-04-30,0.4711
2008-05-30,0.5663
2008-06-30,0.4292
2008-07-31,0.2623
2008-08-29,0.2898
2008-09-30,0.2455
2008-10-31,0.2008
2008-11-28,0.1713
2008-12-31,0.185
2009-01-30,0.1823
2009-02-27,0.1898
2009-03-31,0.2261
2009-04-30,0.2632
2009-05-29,0.2391
2009-06-30,0.2588
2009-07-31,0.2964
2009-08-31,0.3329
2009-09-30,0.3446
2009-10-30,0.2742
2009-11-30,0.2994
2009-12-31,0.4283
2010-01-29,0.3528
2010-02-26,0.3714
2010-03-31,0.3989
2010-04-30,0.3602
2010-05-28,0.3013
2010-06-30,0.2341
2010-07-30,0.2107
2010-08-31,0.2138
2010-09-30,0.2678
2010-10-29,0.2756
2010-11-30,0.312
2010-12-31,0.3531
2011-01-31,0.5484
2011-02-28,0.5195
